delta,p2p_dis,p2c_dis,p2p_changed,p2c_changed,flipped,new_p2p,new_p2c
0,1.2121212121212122,2.727272727272727,0.30303030303030304,1.8181818181818181,0.30303030303030304,2.121212121212121,6.363636363636363
1,1.7391304347826086,2.608695652173913,0.8695652173913043,1.1594202898550725,0.0,0.5797101449275363,3.1884057971014492
2,0.8746355685131195,2.3323615160349855,0.2915451895043732,0.5830903790087464,0.0,1.4577259475218658,3.498542274052478
3,0.5730659025787965,1.4326647564469914,0.0,0.28653295128939826,0.28653295128939826,2.5787965616045847,7.163323782234957
4,1.0638297872340425,1.3297872340425532,1.0638297872340425,1.5957446808510638,0.26595744680851063,1.3297872340425532,5.319148936170213
5,1.0204081632653061,2.5510204081632653,0.7653061224489796,0.7653061224489796,0.0,1.2755102040816326,3.316326530612245
6,0.7575757575757576,1.5151515151515151,0.5050505050505051,1.7676767676767677,0.25252525252525254,2.7777777777777777,3.282828282828283
7,0.7299270072992701,2.18978102189781,1.4598540145985401,0.7299270072992701,0.24330900243309003,1.2165450121654502,3.8929440389294405
8,0.7142857142857143,1.9047619047619047,0.47619047619047616,0.9523809523809523,0.23809523809523808,4.285714285714286,4.285714285714286
9,2.696629213483146,2.696629213483146,0.449438202247191,2.247191011235955,0.449438202247191,1.348314606741573,6.067415730337078
10,0.44052863436123346,2.8634361233480177,1.1013215859030836,0.44052863436123346,0.44052863436123346,2.202643171806167,5.286343612334802
11,1.4799154334038056,2.1141649048625792,0.21141649048625794,0.8456659619450317,0.42283298097251587,1.4799154334038056,5.07399577167019
12,1.2320328542094456,2.0533880903490758,0.6160164271047228,1.2320328542094456,0.4106776180698152,2.4640657084188913,5.544147843942505
13,2.156862745098039,2.7450980392156863,0.39215686274509803,0.39215686274509803,0.0,6.666666666666667,5.098039215686274
14,1.2844036697247707,2.7522935779816513,0.7339449541284404,1.2844036697247707,0.3669724770642202,1.834862385321101,3.302752293577982
15,1.4519056261343013,1.8148820326678765,0.5444646098003629,1.0889292196007259,0.3629764065335753,2.1778584392014517,5.9891107078039925
16,1.2110726643598615,2.0761245674740483,0.6920415224913494,1.3840830449826989,0.0,1.3840830449826989,3.633217993079585
17,1.870748299319728,2.380952380952381,1.530612244897959,1.7006802721088434,0.17006802721088435,1.530612244897959,4.421768707482993
18,1.1705685618729098,2.0066889632107023,1.0033444816053512,2.0066889632107023,0.16722408026755853,2.0066889632107023,3.511705685618729
19,1.4705882352941178,1.3071895424836601,1.1437908496732025,1.6339869281045751,0.0,1.6339869281045751,6.862745098039215
